Country/Region,unit,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Marshall Islands,tCO2e per capita,2.17,2.22,2.28,2.34,2.41,2.46,2.39,2.45,2.50,2.49,2.48,2.52,2.62,2.77
Dominica,tCO2e per capita,2.02,2.59,2.33,2.28,2.43,2.17,2.32,2.37,2.47,2.47,2.52,2.26,2.32,2.25
Micronesia,tCO2e per capita,1.15,1.26,1.06,1.42,1.00,1.13,1.19,1.28,1.26,1.31,1.30,1.28,1.32,1.40
Vanuatu,tCO2e per capita,0.22,0.45,0.42,0.53,0.51,0.54,0.46,0.41,0.58,0.49,0.53,0.49,0.50,0.52
Liechtenstein,tCO2e per capita,6.61,5.70,6.19,5.75,5.30,4.87,5.06,5.21,4.33,4.26,3.98,4.13,3.79,3.83
Sao Tome and Principe,tCO2e per capita,0.52,0.51,0.49,0.52,0.55,0.56,0.60,0.59,0.58,0.57,0.59,0.60,0.60,0.60
Cook Islands,tCO2e per capita,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Kiribati,tCO2e per capita,0.70,0.61,0.67,0.54,0.57,0.52,0.48,0.48,0.54,0.56,0.59,0.58,0.59,0.62
Nauru,tCO2e per capita,4.47,4.47,4.45,4.06,4.39,4.01,4.28,4.40,4.33,4.41,3.37,3.70,3.92,4.21
Tuvalu,tCO2e per capita,0.72,1.08,1.07,1.05,0.70,0.69,1.02,1.01,1.00,0.99,0.98,0.97,1.00,1.05
Niue,tCO2e per capita,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Data source,GCP
